,Ano de Registo,Classe do veículo,Combustível,Condição,ID,Marca,Matrícula,Origem,Potência,Quilómetros,Segmento,Tipo de Caixa,Série,Valor Fixo
1040,2014,Classe 1,Diesel,Usados,8066267051,MINI,,,116 cv,139 900 km,Citadino,Manual,,Sim
1041,2014,Classe 1,Híbrido (Diesel),Usados,8057297698,Peugeot,,,163 cv,117 000 km,Carrinha,Automática,,Sim
1042,2016,,Diesel,Usados,8074399519,BMW,,,190 cv,149 127 km,Utilitário,Manual,Série 1,
1043,2016,Classe 1,Diesel,Usados,8072920532,Renault,,,110 cv,150 000 km,Utilitário,Automática,,
1044,2014,Classe 1,Diesel,Usados,8074400481,BMW,,Nacional,190 cv,154 000 km,SUV / TT,Automática,Série X,
1045,2019,Classe 1,Gasolina,Usados,8074397159,Opel,,,105 cv,19 465 km,Utilitário,Manual,,
1046,2016,,Diesel,Usados,8075725172,BMW,00-00-00,Importado,116 cv,69 000 km,Citadino,Manual,Série 1,
1047,2017,Classe 1,Diesel,Usados,8074302764,Peugeot,,,100 cv,48 000 km,SUV / TT,Automática,,
1048,2015,Classe 1,Diesel,Usados,8072873635,BMW,,,190 cv,50 km,Carrinha,Manual,Série 5,
1049,2017,Classe 1,Diesel,Usados,8059096565,Toyota,,Nacional,90 cv,35 000 km,Citadino,Manual,,
1050,2010,Classe 1,Diesel,Usados,8072874827,BMW,,,306 cv,200 000 km,Sedan,Automática,Série 7,Sim
1051,2016,Classe 1,Diesel,Usados,8072877040,Peugeot,,,92 cv,89 km,Citadino,Manual,,
1052,2019,Classe 1,Diesel,Usados,8075522344,BMW,,Nacional,116 cv,450 km,Citadino,,Série 1,Sim
1053,2007,Classe 1,Gasolina,Usados,8048775286,Skoda,,Nacional,70 cv,200 000 km,Carrinha,Manual,,Sim
1054,2008,Classe 2,Diesel,Usados,8072876090,Mercedes-Benz,,,224 cv,164 000 km,SUV / TT,Automática,Classe R,
1055,2018,,Gasolina,Usados,8075724306,Mercedes-Benz,,,211 cv,40 456 km,SUV / TT,Automática,Classe GLC,
1056,2015,Classe 1,Diesel,Usados,8074832795,BMW,69-PU-37,Nacional,218 cv,60 000 km,Carrinha,Automática,Série 5,
1057,2017,Classe 1,Diesel,Usados,8059096565,Toyota,,Nacional,90 cv,35 000 km,Citadino,Manual,,
1058,2019,Classe 1,Diesel,Usados,8075522344,BMW,,Nacional,116 cv,450 km,Citadino,,Série 1,Sim
1059,2006,,Diesel,Usados,8065723504,Ford,,Nacional,85 cv,205 000 km,Carrinha,,,Sim
1060,2009,Classe 1,Diesel,Usados,8069015875,BMW,,Nacional,177 cv,115 000 km,SUV / TT,Automática,Série X,
1061,2018,Classe 1,Diesel,Usados,8072860436,Renault,58-VH-08,Nacional,160 cv,49 600 km,Carrinha,Automática,,
1062,2004,Classe 1,Gasolina,Usados,8073152374,Suzuki,,Nacional,60 cv,149 000 km,Utilitário,Manual,,
1063,2015,Classe 1,Gasolina,Usados,8072875591,Peugeot,,,82 cv,89 000 km,Citadino,Manual,,
1064,2017,,Diesel,Usados,8075726782,Audi,,,110 cv,155 000 km,Utilitário,Automática,,
1065,2008,Classe 2,Diesel,Usados,8052914668,BMW,,Nacional,286 cv,140 000 km,SUV / TT,Automática,Série X,
1066,2017,Classe 1,Gasolina,Usados,8072338115,Porsche,,,350 cv,18 000 km,Coupé,Automática,,Sim
1067,2016,Classe 1,Diesel,Usados,8072875244,Renault,,,110 cv,149 000 km,SUV / TT,Manual,,
1068,2015,Classe 1,Diesel,Usados,8047249008,Mercedes-Benz,,,109 cv,162 000 km,Coupé,Manual,Classe CLA,
1069,2018,Classe 1,Diesel,Usados,8075726707,Nissan,00-00-00,Nacional,90 cv,39 000 km,Citadino,Manual,,Sim
1070,2012,Classe 1,Diesel,Usados,8067997796,BMW,,,85 cv,300 000 km,Utilitário,Manual,Série 1,
1071,2012,Classe 1,Diesel,Usados,8075726689,Peugeot,,,115 cv,208 000 km,Carrinha,Automática,,
1072,2019,Classe 1,Gasolina,Usados,8075727130,Nissan,,Nacional,140 cv,5 182 km,SUV / TT,Manual,,
1073,2008,Classe 1,Diesel,Usados,8062060747,Fiat,,Nacional,105 cv,147 000 km,Utilitário,Manual,,Sim
1074,2018,Classe 1,Diesel,Usados,8072462478,Nissan,,Nacional,90 cv,37 000 km,Citadino,Manual,,Sim
1075,2018,Classe 1,Diesel,Usados,8075727305,BMW,,Nacional,116 cv,34 751 km,SUV / TT,Manual,Série 2,
1076,2019,,Gasolina,Usados,8074286531,Opel,,,83 cv,9 691 km,SUV / TT,,,
