,Ano de Registo,Classe do veículo,Combustível,Condição,ID,Marca,Potência,Quilómetros,Segmento,Tipo de Caixa,Valor Fixo,Matrícula,Série,Origem
446,2017,Classe 1,Diesel,Usados,8073896103,Mercedes-Benz,194 cv,82 000 km,Carrinha,Automática,Sim,,Classe E,
447,2019,Classe 1,Diesel,Usados,8073958534,Peugeot,130 cv,25 000 km,Carrinha,Manual,Sim,,,Nacional
448,2019,Classe 1,Diesel,Usados,8075522344,BMW,116 cv,450 km,Citadino,,Sim,,Série 1,Nacional
449,2019,Classe 1,Gasolina,Usados,8067751256,Peugeot,68 cv,17 000 km,Pequeno citadino,Manual,,,,
450,2015,Classe 1,Diesel,Usados,8069337397,Renault,90 cv,120 000 km,Citadino,Manual,Sim,30-ZM-52,,
451,2007,,Diesel,Usados,8075683386,Ford,115 cv,200 000 km,Monovolume,Manual,Sim,,,
452,2017,,Diesel,Usados,8061717232,Renault,110 cv,150 000 km,Monovolume,Automática,Sim,,,
453,2010,Classe 1,Diesel,Usados,8074054893,MINI,110 cv,97 000 km,Citadino,Manual,,38-IQ-09,,Nacional
454,2014,,Diesel,Usados,8067926696,BMW,184 cv,110 000 km,Utilitário,Manual,,,Série 1,
455,2019,Classe 1,Diesel,Usados,8075522344,BMW,116 cv,450 km,Citadino,,Sim,,Série 1,Nacional
456,2016,,Diesel,Usados,8074159275,Citroën,120 cv,133 000 km,Monovolume,Automática,,,,
457,2018,,Diesel,Usados,8073273792,Audi,150 cv,34 494 km,Sedan,Manual,Sim,47UL44,,
458,2018,,Diesel,Usados,8067928115,Audi,116 cv,30 000 km,Utilitário,Manual,Sim,,,
459,2011,Classe 1,Diesel,Usados,8074856249,Opel,170 cv,127 000 km,Utilitário,Manual,,,,Nacional
460,2018,Classe 1,Diesel,Usados,8071979164,Mercedes-Benz,110 cv,128 000 km,Utilitário,Automática,,,Classe A,
461,2018,Classe 1,Híbrido (Gasolina),Usados,8074854862,BMW,224 cv,15 000 km,Monovolume,Automática,,23-ZH-58,Série 2,
462,2013,Classe 1,Gasolina,Usados,8074853654,VW,460 cv,77 500 km,Utilitário,Automática,,,,
463,2016,,Diesel,Usados,8074159275,Citroën,120 cv,133 000 km,Monovolume,Automática,,,,
464,2015,,Híbrido (Gasolina),Usados,8053280259,VW,204 cv,160 000 km,Utilitário,Automática,Sim,,,
465,2015,Classe 1,Diesel,Usados,8051730821,Mercedes-Benz,136 cv,104 801 km,Sedan,,Sim,,Classe C,Nacional
466,2014,Classe 1,Diesel,Usados,8072571086,Nissan,90 cv,120 000 km,SUV / TT,Manual,,,,Nacional
467,2015,,Diesel,Usados,8068142220,VW,150 cv,106 634 km,Sedan,Automática,Sim,45QJ66,,
468,2015,,Diesel,Usados,8068142220,VW,150 cv,106 634 km,Sedan,Automática,Sim,45QJ66,,
469,2018,,Gasolina,Usados,8062053116,Renault,140 cv,8 000 km,Carrinha,,,,,
470,2018,,Diesel,Usados,8074228513,Audi,116 cv,42 642 km,Utilitário,Manual,Sim,90-UV-52,,Nacional
471,2015,,Diesel,Usados,8053278781,Nissan,110 cv,90 000 km,SUV / TT,Manual,Sim,,,
472,2018,,Diesel,Usados,8073273792,Audi,150 cv,34 494 km,Sedan,Manual,Sim,47UL44,,
473,1991,Classe 1,Diesel,Usados,8074054954,Mercedes-Benz,72 cv,291 000 km,Sedan,Manual,Sim,,,
474,2016,Classe 1,Diesel,Usados,8071916109,SEAT,90 cv,144 000 km,Citadino,Manual,,,,Nacional
475,2011,,Diesel,Usados,8033851850,Peugeot,115 cv,181 000 km,Carrinha,Automática,,,,
476,2015,,Diesel,Usados,8066200952,BMW,116 cv,74 000 km,Utilitário,Manual,,,Série 1,Nacional
477,2018,Classe 1,Eléctrico,Usados,8075627651,Nissan,150 cv,22 500 km,Utilitário,Automática,,,,Nacional
478,2018,Classe 1,Eléctrico,Usados,8075627651,Nissan,150 cv,22 500 km,Utilitário,Automática,,,,Nacional
479,2013,,Diesel,Usados,8067927131,Hyundai,105 cv,188 000 km,Carrinha,Manual,Sim,,,Nacional
480,2016,,Diesel,Usados,8075422269,Renault,90 cv,120 000 km,Citadino,Manual,,,,
481,2014,Classe 1,Eléctrico,Usados,8075174087,Tesla,367 cv,115 000 km,Sedan,Automática,,,,
482,2003,,Diesel,Usados,8074856280,Peugeot,90 cv,245 000 km,Citadino,,,,,
483,2018,,Diesel,Usados,8036793232,BMW,190 cv,50 000 km,Sedan,Automática,Sim,,Série 5,
484,2012,,Diesel,Usados,8062620465,Peugeot,90 cv,120 000 km,Citadino,Manual,,,,
485,2018,,Diesel,Usados,8066201083,Audi,116 cv,50 000 km,Sedan,Manual,Sim,,,
486,2019,Classe 1,Diesel,Usados,8062315894,MINI,116 cv,80 km,Carrinha,,Sim,,,Nacional
487,2015,,Diesel,Usados,8075682905,Fiat,120 cv,100 000 km,SUV / TT,Manual,,,,
488,2016,,Diesel,Usados,8074855411,Mercedes-Benz,170 cv,75 000 km,Coupé,Automática,,,Classe C,Importado
489,2013,Classe 1,Diesel,Usados,8071824764,BMW,140 cv,160 000 km,Carrinha,Manual,,,Série 3,
