,Ano de Registo,Combustível,Condição,ID,Marca,Origem,Potência,Quilómetros,Segmento,Série,Tipo de Caixa
10143,2013,Diesel,Usados,8073025782,BMW,,136,247888,Carrinha,Série 3,Manual
10144,2014,Diesel,Usados,8073033439,Volvo,,120,131748,Carrinha,,Manual
10145,2008,Gasolina,Usados,8060368906,Porsche,,420,110,Coupé,911 (Todos),Manual
10146,2016,Diesel,Usados,8060386649,Peugeot,Nacional,75,53000,Citadino,,Manual
10147,2012,Diesel,Usados,8061318793,Mercedes-Benz,Nacional,204,199000,Carrinha,Classe C,Automática
10148,2014,Gasolina,Usados,8060314568,Smart,Nacional,102,16000,Pequeno citadino,,Automática
10149,2016,Diesel,Usados,8057968804,Mercedes-Benz,Nacional,136,84900,Carrinha,Classe CLA,Automática
10150,2017,Gasolina,Usados,8055620736,Ford,Nacional,350,9900,Utilitário,,Manual
10151,2010,Gasolina,Usados,8055622895,Renault,Nacional,250,109100,Coupé,,Manual
10152,2018,Diesel,Usados,8066248665,Mercedes-Benz,Nacional,170,11000,Coupé,Classe C,Automática
10153,2017,Diesel,Usados,8072338464,SEAT,Nacional,115,117874,Carrinha,,Manual
10154,2018,Gasolina,Usados,8044157816,Peugeot,Nacional,270,9800,Utilitário,,Manual
10155,2014,Gasolina,Usados,8075479243,Ford,Nacional,80,105000,Citadino,,Manual
10156,2014,Diesel,Usados,8073033854,BMW,Nacional,184,211775,Sedan,Série 3,Automática
10157,2015,Diesel,Usados,8074214980,VW,Nacional,110,191792,Utilitário,,Manual
10158,2016,Diesel,Usados,8038757999,Renault,,90,47563,Citadino,,Manual
10159,2019,Gasolina,Usados,8072003606,Renault,,90,13338,Citadino,,Manual
10160,2014,Diesel,Usados,8001387996,Audi,,105,149000,Utilitário,,Manual
10161,2014,Diesel,Usados,8073031003,Renault,Nacional,90,204103,Carrinha,,Manual
10162,2013,Gasolina,Usados,8068418182,Smart,,61,129483,Pequeno citadino,,Automática
10163,2015,Diesel,Usados,8073031705,Toyota,Nacional,90,205036,Carrinha,,Manual
10164,2008,Diesel,Usados,8049572899,Opel,Nacional,75,161000,Citadino,,Manual
10165,2011,Diesel,Usados,8042108444,MINI,Importado,110,145362,Citadino,,Manual
10166,2012,Híbrido (Diesel),Usados,8075368194,Peugeot,,200,164000,Sedan,,Automática
10167,2016,Diesel,Usados,8067411276,BMW,Nacional,258,221210,Sedan,Série 5,Automática
10168,2002,Diesel,Usados,8075368479,Mercedes-Benz,Nacional,196,295000,Sedan,Classe E,Manual
10169,2019,Diesel,Usados,8073013053,Mercedes-Benz,Nacional,116,15000,Monovolume,Classe B,Automática
10170,2017,Gasolina,Usados,8060240373,Audi,,650,9000,Carrinha,,Automática
10171,2011,Diesel,Usados,8075368783,Audi,,105,147000,Utilitário,,Manual
10172,2009,Diesel,Usados,8018031486,Dodge,Nacional,140,148000,SUV / TT,,Automática
10173,2018,Gasolina,Usados,8063610387,Alfa Romeo,Nacional,150,9800,Utilitário,,Manual
10174,2014,Diesel,Usados,8061321097,Audi,,136,146185,Carrinha,,Manual
10175,2014,Diesel,Usados,8074191620,Renault,Nacional,95,144772,Carrinha,,Manual
10176,2017,Diesel,Usados,8075479319,Renault,Nacional,110,48812,Carrinha,,Automática
10177,2015,Diesel,Usados,8073031660,Audi,Nacional,110,46327,Utilitário,,Manual
10178,2012,Diesel,Usados,8068427400,VW,,105,135000,Carrinha,,Manual
10179,2014,Eléctrico,Usados,8068417773,Nissan,,109,20140,Utilitário,,Automática
10180,2004,Diesel,Usados,8073026992,Nissan,,82,183490,Citadino,,Manual
10181,2014,Diesel,Usados,8074220260,Mercedes-Benz,,204,179429,Carrinha,Classe E,Automática
10182,2016,Diesel,Usados,8059901307,Renault,,110,101432,Utilitário,,Manual
10183,2013,Diesel,Usados,8049573484,Renault,,110,160000,Carrinha,,Manual
10184,2014,Diesel,Usados,8053513359,BMW,,184,159506,Carrinha,Série 3,Manual
10185,2018,Diesel,Usados,8075479274,Nissan,Nacional,110,41180,SUV / TT,,Manual
10186,2017,Diesel,Usados,8075479352,Fiat,Nacional,85,54335,Citadino,,Manual
10187,2015,Diesel,Usados,8073035798,BMW,Nacional,116,64485,Utilitário,Série 1,Manual
10188,2016,Diesel,Usados,8060306097,VW,Nacional,90,72462,Citadino,,Manual
10189,2011,Diesel,Usados,8043994615,Renault,Nacional,110,220948,Carrinha,,Manual
10190,2015,Gasolina,Usados,8072068505,BMW,,450,17892,Cabrio,Série 4,Automática
10191,2017,Diesel,Usados,8065209780,Renault,Nacional,110,91000,Carrinha,,Manual
10192,2017,Diesel,Usados,8065323226,Peugeot,Nacional,75,63000,Citadino,,Manual
10193,2017,Diesel,Usados,8041760866,Nissan,Nacional,110,29600,SUV / TT,,Manual
10194,2015,Diesel,Usados,8073037318,Renault,Nacional,130,85745,Monovolume,,Manual
10195,2019,Gasolina,Usados,8072014492,Renault,,90,9213,Citadino,,Manual
10196,2016,Diesel,Usados,8073030036,BMW,Nacional,190,172595,Sedan,Série 3,Automática
10197,2016,Diesel,Usados,8064744513,Mercedes-Benz,Nacional,110,85627,Carrinha,Classe CLA,Automática
10198,2014,Diesel,Usados,8059465624,Peugeot,,115,143343,Monovolume,,Manual
10199,2015,Diesel,Usados,8037774120,BMW,Nacional,190,62071,Carrinha,Série 5,Automática
10200,2015,Diesel,Usados,8043364944,Audi,Nacional,190,124158,Carrinha,,Automática
10201,2019,Gasolina,Usados,8072002501,Renault,,90,6737,Citadino,,Manual
10202,2015,Gasolina,Usados,8070957919,Renault,Nacional,90,61566,Citadino,,Manual
10203,2015,Diesel,Usados,8073037105,VW,Nacional,150,86411,Utilitário,,Manual
10204,2020,Diesel,Usados,8075479385,Dacia,,95,400,Sedan,,Manual
10205,2017,Gasolina,Usados,8075479445,Smart,Nacional,71,16450,Pequeno citadino,,Automática
10206,2014,Diesel,Usados,8053602847,Renault,,90,104055,Citadino,,Manual
10207,2015,Diesel,Usados,8073038749,Audi,Nacional,150,107173,Sedan,,Manual
10208,2008,Diesel,Usados,8064192377,Nissan,Nacional,171,189000,SUV / TT,,Automática
10209,2013,Híbrido (Diesel),Usados,8072074665,Citroën,,200,98327,Utilitário,,Automática
10210,2018,Diesel,Usados,8065250040,Jeep,Nacional,120,43000,SUV / TT,,Automática
10211,2017,Gasolina,Usados,8039473659,Fiat,Nacional,69,34825,Pequeno citadino,,Manual
10212,2015,Diesel,Usados,8064325954,VW,,110,140891,Monovolume,,Manual
10213,2016,Diesel,Usados,8073037603,Renault,Nacional,110,130247,Utilitário,,Manual
10214,2015,Diesel,Usados,8042469974,Ford,Nacional,120,106818,Utilitário,,Manual
10215,2017,Diesel,Usados,8074039863,Peugeot,Importado,120,145000,SUV / TT,,Automática
10216,2015,Diesel,Usados,8064743624,Nissan,Nacional,110,37015,SUV / TT,,Manual
10217,2019,Gasolina,Usados,8072014961,Renault,,90,6763,Citadino,,Manual
10218,2016,Diesel,Usados,8073036003,BMW,Nacional,190,89728,Sedan,Série 3,Automática
10219,2009,Diesel,Usados,8073963741,Citroën,,102,100000,Citadino,,Unknown
10220,2017,Gasolina,Usados,8009455413,Fiat,Nacional,69,50000,Pequeno citadino,,Manual
10221,2017,Diesel,Usados,8067079361,BMW,Nacional,116,65000,SUV / TT,Série X,Manual
10222,2019,Diesel,Usados,8073979822,BMW,Nacional,115,17500,Utilitário,Série 1,Manual
10223,2017,Diesel,Usados,8072888580,Renault,Nacional,90,51479,Citadino,,Manual
10224,2018,Diesel,Usados,8002802365,Fiat,Nacional,95,40000,Monovolume,,Manual
10225,2009,Diesel,Usados,8073963301,Smart,,45,63000,Pequeno citadino,,Unknown
10226,2016,Diesel,Usados,8059458256,Audi,Nacional,150,182564,Carrinha,,Manual
10227,2007,Diesel,Usados,8075479817,Opel,Nacional,75,293000,Citadino,,Manual
10228,2017,Diesel,Usados,8074220003,Peugeot,Importado,120,121844,SUV / TT,,Automática
10229,2010,Diesel,Usados,8075478343,VW,,105,312600,Carrinha,,Manual
10230,2013,Gasolina,Usados,8051871493,Abarth,,160,92000,Pequeno citadino,,Manual
10231,2014,Diesel,Usados,8065254298,Alfa Romeo,Nacional,120,138000,Utilitário,,Manual
10232,2013,Diesel,Usados,8072650409,VW,Nacional,105,108700,Utilitário,,Manual
10233,2011,Gasolina,Usados,8070978759,Smart,,71,145000,Pequeno citadino,,Automática
10234,2014,Diesel,Usados,8073195344,Peugeot,Importado,120,148000,Carrinha,,Manual
10235,2018,Diesel,Usados,8059709056,Fiat,Nacional,95,40000,SUV / TT,,Manual
10236,2019,Gasolina,Usados,8040136260,Fiat,Nacional,69,20000,Pequeno citadino,,Manual
10237,2019,Diesel,Usados,8073978729,Mercedes-Benz,Nacional,204,17900,SUV / TT,Classe GLC,Automática
10238,2016,Diesel,Usados,8074217314,Renault,Importado,90,84966,SUV / TT,,Manual
10239,2015,Diesel,Usados,8073195363,Peugeot,Importado,120,167000,Carrinha,,Automática
10240,2017,Gasolina,Usados,8005901305,Fiat,Nacional,69,30000,Pequeno citadino,,Manual
10241,2016,Híbrido (Gasolina),Usados,8041746675,Mercedes-Benz,,279,76000,Carrinha,Classe C,Automática
10242,2009,Diesel,Usados,8060664338,Fiat,,75,107000,Citadino,,Manual
10243,2019,Diesel,Usados,8075479492,Citroën,Nacional,130,5830,SUV / TT,,Manual
10244,2007,Diesel,Usados,8072887839,Peugeot,Nacional,109,257841,Citadino,,Manual
10245,2020,Gasolina,Usados,8075479585,Dacia,,75,200,Utilitário,,Manual
10246,2009,Diesel,Usados,8064538902,Peugeot,Nacional,110,160000,Carrinha,,Manual
10247,2013,Diesel,Usados,8073205574,Audi,Nacional,177,44650,Carrinha,,Automática
10248,2020,Gasolina,Usados,8075479482,Dacia,,130,300,SUV / TT,,Manual
10249,2004,Gasolina,Usados,8065945447,Renault,Nacional,75,93000,Citadino,,Manual
10250,2017,Diesel,Usados,8045195093,Audi,Nacional,190,33165,Coupé,,Automática
10251,2002,Diesel,Usados,8057895353,VW,Nacional,130,320000,Carrinha,,Manual
10252,2005,Diesel,Usados,8055831001,Audi,Nacional,105,301000,Sedan,,Manual
10253,2016,Diesel,Usados,8069335462,Honda,Nacional,120,83500,Citadino,,Manual
10254,2015,Diesel,Usados,8012941731,BMW,Nacional,190,38000,Cabrio,Série 2,Manual
10255,2019,Diesel,Usados,8073979934,VW,,190,15000,Sedan,,Semi-automática
10256,2019,Gasolina,Usados,8067395238,Renault,Nacional,90,500,SUV / TT,,Manual
10257,1999,Gasolina,Usados,8070784109,Mercedes-Benz,,192,201000,Cabrio,Classe SLK,Manual
10258,2004,Diesel,Usados,8069630921,Opel,Nacional,150,349000,Carrinha,,Manual
10259,2012,Diesel,Usados,8001232340,BMW,,218,129000,Carrinha,Série 5,Automática
10260,2015,Diesel,Usados,8059647205,Peugeot,,120,159000,Utilitário,,Manual
10261,2008,Diesel,Usados,8074219279,Citroën,Nacional,109,218000,Monovolume,,Automática
10262,2013,Diesel,Usados,8070363834,Renault,,90,114000,Carrinha,,Manual
10263,2017,Diesel,Usados,8075480310,Fiat,Nacional,95,43614,Carrinha,,Manual
10264,2016,Diesel,Usados,8074223057,Mercedes-Benz,Importado,252,76000,Sedan,Classe E,Automática
10265,2020,Gasolina,Usados,8075480048,Renault,,90,1200,SUV / TT,,Manual
10266,2014,Diesel,Usados,8075480089,BMW,Importado,169,168000,Carrinha,Série 3,Automática
10267,2017,Gasolina,Usados,8075479689,SEAT,,110,31000,Citadino,,Manual
10268,2012,Diesel,Usados,8072256805,Renault,,90,107000,Citadino,,Manual
10269,2009,Diesel,Usados,8033116554,Porsche,Nacional,239,181000,SUV / TT,,Automática
10270,2012,Diesel,Usados,8049725114,Audi,Nacional,143,86000,Sedan,,Automática
10271,2008,Gasolina,Usados,8063156009,Peugeot,Nacional,90,62000,Citadino,,Manual
10272,2014,Diesel,Usados,8016923946,MINI,,110,87500,Cabrio,,Manual
10273,2004,Diesel,Usados,8073195315,Alfa Romeo,Nacional,140,260000,Utilitário,,Manual
